representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_last,0,minute,all,480,-0.0015723234853555201,93.60762607653936,0.04375
hidden_last,0,minute,correct,12,-7.998657830480116e+27,121.84718298912048,0.0
hidden_last,0,minute,wrong,468,-0.0015481163993872338,92.88353487365266,0.04487179487179487
hidden_last,1,minute,all,480,0.8573294315300691,13.082856650402146,0.9270833333333334
hidden_last,1,minute,correct,12,-1.9793932986225794e+31,19.574769020080566,0.9166666666666666
hidden_last,1,minute,wrong,468,0.859308846902601,12.916397358871931,0.9273504273504274
hidden_last,2,minute,all,480,0.8770583926776482,12.288480903332433,0.9291666666666667
hidden_last,2,minute,correct,12,-1.6896028971929681e+31,17.866805056730907,0.9166666666666666
hidden_last,2,minute,wrong,468,0.8783034702782313,12.145446950681189,0.9294871794871795
hidden_last,3,minute,all,480,0.8814613172405525,11.90416459639867,0.94375
hidden_last,3,minute,correct,12,-1.3123971643775605e+31,15.807455023129782,1.0
hidden_last,3,minute,wrong,468,0.8823393341574401,11.804080226482489,0.9423076923076923
hidden_last,4,minute,all,480,0.898419874646117,10.601394221186638,0.94375
hidden_last,4,minute,correct,12,-1.8506281717229929e+31,16.73130186398824,0.9166666666666666
hidden_last,4,minute,wrong,468,0.9008895739263051,10.444217102140444,0.9444444444444444
hidden_last,5,minute,all,480,0.8986200903167246,10.89937649637771,0.9479166666666666
hidden_last,5,minute,correct,12,-1.7930141234188145e+31,16.354481119662523,1.0
hidden_last,5,minute,wrong,468,0.9007387516866017,10.759502018857589,0.9465811965811965
hidden_last,6,minute,all,480,0.8944388917598787,11.132706164537618,0.95
hidden_last,6,minute,correct,12,-1.481259780065736e+31,16.42482654253642,1.0
hidden_last,6,minute,wrong,468,0.8959957945122137,10.997010770229958,0.9487179487179487
hidden_last,7,minute,all,480,0.8910788939584389,10.91250604314458,0.94375
hidden_last,7,minute,correct,12,-1.456370505709525e+31,15.62995704015096,1.0
hidden_last,7,minute,wrong,468,0.8928997575910826,10.791545761170056,0.9423076923076923
hidden_last,8,minute,all,480,0.907056427464432,10.075619215021533,0.9416666666666667
hidden_last,8,minute,correct,12,-9.777663769944379e+30,14.125534454981485,1.0
hidden_last,8,minute,wrong,468,0.907972239461747,9.971775234509739,0.9401709401709402
hidden_last,9,minute,all,480,0.8967822630214424,10.89308442367862,0.9541666666666667
hidden_last,9,minute,correct,12,-1.620869490537347e+31,16.51462996006012,1.0
hidden_last,9,minute,wrong,468,0.8991501998451907,10.748942230438066,0.9529914529914529
hidden_last,10,minute,all,480,0.9061868826620785,10.347198530286551,0.9416666666666667
hidden_last,10,minute,correct,12,-1.0110328138081895e+31,13.477406104405722,0.9166666666666666
hidden_last,10,minute,wrong,468,0.9071550088148405,10.266936797616829,0.9423076923076923
hidden_last,11,minute,all,480,0.9160782430244638,9.803798733775817,0.9458333333333333
hidden_last,11,minute,correct,12,-1.196902199350254e+31,14.61497974395752,1.0
hidden_last,11,minute,wrong,468,0.9174647150798438,9.680435118130129,0.9444444444444444
hidden_last,12,minute,all,480,0.9098686325674397,10.009522713907064,0.9458333333333333
hidden_last,12,minute,correct,12,-1.0958295871273419e+31,11.184738939007124,1.0
hidden_last,12,minute,wrong,468,0.9109649873782315,9.979388964545523,0.9444444444444444
hidden_last,13,minute,all,480,0.9079609757012246,10.314258738669256,0.9354166666666667
hidden_last,13,minute,correct,12,-1.879240956602948e+31,18.35678728421529,1.0
hidden_last,13,minute,wrong,468,0.9106710538934842,10.10804005801423,0.9337606837606838
hidden_last,14,minute,all,480,0.9070012911940799,9.92682081113259,0.9395833333333333
hidden_last,14,minute,correct,12,-1.899617670228918e+31,16.55503284931183,1.0
hidden_last,14,minute,wrong,468,0.9098252692823241,9.756866656307482,0.938034188034188
hidden_last,15,minute,all,480,0.9144531462416192,9.228860385343433,0.9375
hidden_last,15,minute,correct,12,-8.860360434996949e+30,11.128502488136292,1.0
hidden_last,15,minute,wrong,468,0.9148274033453856,9.18015161347695,0.9358974358974359
hidden_last,16,minute,all,480,0.9266542466253567,8.659760218455146,0.9208333333333333
hidden_last,16,minute,correct,12,-8.064175977893243e+30,9.21204617122809,1.0
hidden_last,16,minute,wrong,468,0.9275989482332859,8.645599040178917,0.9188034188034188
hidden_last,17,minute,all,480,0.9273536023200464,8.424396811813738,0.94375
hidden_last,17,minute,correct,12,-7.314176757946719e+30,10.253387133280436,1.0
hidden_last,17,minute,wrong,468,0.928491164233596,8.377499624083823,0.9423076923076923
hidden_last,18,minute,all,480,0.9326056508340639,8.147998335088294,0.9354166666666667
hidden_last,18,minute,correct,12,-3.685300079312324e+30,8.819622159004211,1.0
hidden_last,18,minute,wrong,468,0.9335907567923041,8.130777211398142,0.9337606837606838
hidden_last,19,minute,all,480,0.9272384071487865,8.970105314068496,0.9333333333333333
hidden_last,19,minute,correct,12,-2.97607951366837e+30,6.772704258561134,1.0
hidden_last,19,minute,wrong,468,0.927675800297471,9.026448930876377,0.9316239316239316
hidden_last,20,minute,all,480,0.9296100572248691,8.55020743717129,0.9354166666666667
hidden_last,20,minute,correct,12,-3.978186982341171e+30,6.631860016534726,1.0
hidden_last,20,minute,wrong,468,0.9304253600505816,8.599395832572228,0.9337606837606838
hidden_last,21,minute,all,480,0.9385843354151592,8.128565702711544,0.9520833333333333
hidden_last,21,minute,correct,12,-6.302039347187078e+30,10.412327468395233,1.0
hidden_last,21,minute,wrong,468,0.9392305008082031,8.070007708719652,0.9508547008547008
hidden_last,22,minute,all,480,0.9311983731019549,7.93301994074136,0.9416666666666667
hidden_last,22,minute,correct,12,-8.749795083911874e+30,10.43144585688909,1.0
