representation,layer,hand,split,n,r2,angular_error_deg,clf_accuracy
hidden_last,0,minute,shuffled_labels,480,-0.0048826683883166355,96.65428398450216,0.04791666666666667
hidden_last,1,minute,shuffled_labels,480,-0.22528904186980214,86.96899227349398,0.0875
hidden_last,2,minute,shuffled_labels,480,-0.2168785731486218,86.3250297621203,0.08541666666666667
hidden_last,3,minute,shuffled_labels,480,-0.223567305695472,86.47633542617162,0.06875
hidden_last,4,minute,shuffled_labels,480,-0.21538162338097988,85.99056338484709,0.07291666666666667
hidden_last,5,minute,shuffled_labels,480,-0.22688109831733916,86.14054949327061,0.08125
hidden_last,6,minute,shuffled_labels,480,-0.22604873157738803,86.7967664146175,0.075
hidden_last,7,minute,shuffled_labels,480,-0.19796111362255564,83.41530888831863,0.06666666666666667
hidden_last,8,minute,shuffled_labels,480,-0.2023668966813491,83.05141661499316,0.06875
hidden_last,9,minute,shuffled_labels,480,-0.18701358790989075,83.1291423269858,0.08958333333333333
hidden_last,10,minute,shuffled_labels,480,-0.2125349571762779,85.84946649223566,0.07291666666666667
hidden_last,11,minute,shuffled_labels,480,-0.2024065314302007,84.35779432579875,0.08541666666666667
hidden_last,12,minute,shuffled_labels,480,-0.18718908746235396,85.65013992177943,0.07708333333333334
hidden_last,13,minute,shuffled_labels,480,-0.1939696403291904,84.62715174828966,0.075
hidden_last,14,minute,shuffled_labels,480,-0.2018568649923309,85.0984885694459,0.07291666666666667
hidden_last,15,minute,shuffled_labels,480,-0.22113157280087625,85.23508325299869,0.07916666666666666
hidden_last,16,minute,shuffled_labels,480,-0.21350818920586878,85.35669872459646,0.08333333333333333
hidden_last,17,minute,shuffled_labels,480,-0.21610512433199214,85.98779135110478,0.08333333333333333
hidden_last,18,minute,shuffled_labels,480,-0.20801524836763097,86.37338762221238,0.08333333333333333
hidden_last,19,minute,shuffled_labels,480,-0.22145439245979914,87.34710765288521,0.09791666666666667
hidden_last,20,minute,shuffled_labels,480,-0.19981635808197062,84.73973573744297,0.08333333333333333
hidden_last,21,minute,shuffled_labels,480,-0.18760263100774577,82.11292355259259,0.07291666666666667
hidden_last,22,minute,shuffled_labels,480,-0.1976115105493068,86.17457492873072,0.0875
